Rank,Prev,Team,Conf,Region,Rating,AdjEff,AdjO,AdjD,AdjHFA,Elo,Elo+,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Pred. W,Pred. L,Pred. DIIIW,Pred. DIIIL,Pred. ConfW,Pred. ConfL,To-Date SOS,To-Date SOS+,To-Date NCSOS,SOS,SOS+,NCSOS,Future SOS,Future SOS+,Future NCSOS,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Best MOV,Opp...44,Best Win,Opp...46,Worst MOV,Opp...48,Worst Loss,Opp...50,OGrade,DGrade,Grade,OError,DError,Error,OC,DC,HC,WinPerc,Exp_SOR,Exp_BestW,Exp_WorstL,AdjGames,AdjWP
1,1,North Central Ill.,CCIW,5,59.85312462847536,59.19118155348815,58.75966378028914,-0.4315177731990135,1.8972629646169556,2814.9560431824752,2881.6984054316413,0,0,0,0,0,0,9.89675171078626,0.1032482892137403,9.89675171078626,0.1032482892137403,8.925832372863587,0.07416762713641312,NA,NA,NA,0.5968283841533222,0.18045360032986407,0.9818990052417993,0.5968283841533222,0.18045360032986407,0.9818990052417993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718281828459045,1,NA,NA
2,2,UW-La Crosse,WIAC,6,40.782368444025586,40.127290457928574,47.69133100740424,7.564040549475665,1.4415325381798207,2357.362641429762,2367.0714381949633,0,0,0,0,0,0,6.354132530913379,2.6458674690866206,5.564217075089802,2.4357829249101983,4.875797621718588,2.124202378281412,NA,NA,NA,0.9137566687788278,0.477216438719571,0.9716757489346247,0.9137566687788278,0.477216438719571,0.9716757489346247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718281828459045,1,NA,NA
3,3,UW-Whitewater,WIAC,6,40.71852900404401,40.26736440424862,42.86656146161498,2.5991970573663603,0.9069248857862383,2276.892096612036,2321.7185849591556,0,0,0,0,0,0,7.456687362336484,2.543312637663515,6.523251709888211,2.476748290111789,5.083412286790977,1.9165877132090232,NA,NA,NA,0.8760310659691035,0.42538099509815674,0.8275795897920174,0.8760310659691035,0.42538099509815674,0.8275795897920174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-23.988132729285162,30.606233517147924,6.618100787862762,-40.19458913655354,5.302591129374072,-34.89199800717947,N,A,N,NA,NA,2.718281828459045,1,NA,NA
4,4,Mary Hardin-Baylor,ASC,3,40.2561442598944,39.55018967521914,43.62693374708352,4.076744071864383,1.4915696632308748,2380.8091426682395,2336.6285122634035,0,0,0,0,0,0,7.736021613147508,2.263978386852491,5.431358347084622,1.5686416529153782,4.8847480037343844,1.1152519962656156,NA,NA,NA,0.8744827897837226,0.38813199607650334,0.9540006893630723,0.8744827897837226,0.38813199607650334,0.9540006893630723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-19.574682583744085,47.554250583744086,27.979568,-36.64890802210299,22.02944940613417,-14.619458615968817,N,A+,D,NA,NA,2.718281828459045,1,NA,NA
5,6,Mount Union,OAC,4,40.2421314824396,38.696163491663185,49.10226319343764,10.406099701774458,1.0975748633162916,2624.6074229158417,2651.1531571147325,0,0,0,0,0,0,8.941436472617745,1.0585635273822551,8.941436472617745,1.0585635273822551,7.659575510953351,0.340424489046649,NA,NA,NA,0.6501811638541959,0.19397141203699209,0.9776514548252055,0.6501811638541959,0.19397141203699209,0.9776514548252055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-12.714055351617619,48.23049603894187,35.516440687324256,-35.06228017579057,30.061549676830783,-5.000730498959786,N,A+,B-,NA,NA,2.718281828459045,1,NA,NA
6,5,St. John's,MIAC,6,40.00310900626417,39.058592317978395,49.24302432646576,10.184432008487363,0.60413806607999,2406.3895576334876,2482.1121668483393,0,0,0,0,0,0,9.424338135329675,0.5756618646703239,9.424338135329675,0.5756618646703239,8.424396709625315,0.5756032903746853,NA,NA,NA,0.43547434765312243,0.08870266119928508,0.09666063094272026,0.43547434765312243,0.08870266119928508,0.09666063094272026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718281828459045,1,NA,NA
7,7,UW-Platteville,WIAC,6,39.56110943249354,38.97736424064635,44.879331855304734,5.901967614658385,1.229484418438511,2305.7742451128925,2310.341467339616,0,0,0,0,0,0,7.365030572593551,2.6349694274064484,7.365030572593551,2.6349694274064484,4.829206127534858,2.1707938724651417,NA,NA,NA,0.894171247651277,0.4244965006956992,0.8834500273447196,0.894171247651277,0.4244965006956992,0.8834500273447196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-19.125900254915656,44.31324134432341,25.187341089407752,-37.34512705587379,25.942760995635233,-11.402366060238556,N,A+,D,NA,NA,2.718281828459045,1,NA,NA
8,8,Hardin-Simmons,ASC,3,38.91029780710914,38.29181130333905,46.39741510557008,8.105603802231029,1.165015368048904,2299.5520767726284,2307.1761001629943,0,0,0,0,0,0,8.634673739387342,1.3653262606126568,6.6502847378916545,1.349715262108346,4.740905692847831,1.2590943071521687,NA,NA,NA,0.7457338566044519,0.21981751425600335,0.6313638908464065,0.7457338566044519,0.21981751425600335,0.6313638908464065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-20.44106121026283,32.15205888245744,11.710997672194608,-40.285768007108295,16.374855391949637,-23.910912615158658,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
9,9,Linfield,NWC,6,36.85686356769058,36.264309856040796,47.20963823486159,10.945328378820799,1.2407924567193191,2235.614942897507,2254.5593822458036,0,0,0,0,0,0,8.395702409042629,0.6042975909573692,8.395702409042629,0.6042975909573692,6.7714935167217085,0.22850648327829148,NA,NA,NA,0.5987006826697427,0.13107565580042943,0.8878822398528365,0.5987006826697427,0.13107565580042943,0.8878822398528365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-11.222318645684679,43.01053906971421,31.788220424029532,-31.960565532285752,25.143408125497256,-6.817157406788496,N,A+,C,NA,NA,2.718281828459045,1,NA,NA
10,12,UW-River Falls,WIAC,6,36.344930564170326,35.8014052552626,46.80914521295588,11.007739957693284,1.6939704455541476,2201.6066108806126,2234.982959683139,0,0,0,0,0,0,6.76837479457687,3.2316252054231303,6.76837479457687,3.2316252054231303,4.331055758111727,2.6689442418882727,NA,NA,NA,0.8797142829455001,0.4406946441352771,0.8558413842895133,0.8797142829455001,0.4406946441352771,0.8558413842895133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-18.32108860818841,46.776868632195374,28.455780024006962,-38.4701287667977,28.9515366935723,-9.518592073225399,N,A+,C-,NA,NA,2.718281828459045,1,NA,NA
