Rank,Poll_Index,Team,Conf,Region,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Rating
1,NA,North Central Ill.,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,59.85312462847536
2,NA,UW-La Crosse,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40.782368444025586
3,NA,UW-Whitewater,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40.71852900404401
4,NA,Mary Hardin-Baylor,ASC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40.2561442598944
5,NA,Mount Union,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40.2421314824396
6,NA,St. John's,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40.00310900626417
7,NA,UW-Platteville,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,39.56110943249354
8,NA,Hardin-Simmons,ASC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,38.91029780710914
9,NA,Linfield,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36.85686356769058
10,NA,UW-River Falls,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36.344930564170326
11,NA,Wheaton Ill.,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36.29129179669094
12,NA,Bethel,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,36.22513612237771
13,NA,Johns Hopkins,CC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,35.50090721276575
14,NA,John Carroll,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,34.11431606523877
15,NA,Wartburg,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,33.296743689059745
16,NA,UW-Stout,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,33.27920727290757
17,NA,UW-Oshkosh,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,32.476452974392714
18,NA,DePauw,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,32.47183761093225
19,NA,Susquehanna,LAND,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,31.843354671788134
20,NA,Cortland,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,31.772294823177393
21,NA,Carnegie Mellon,CC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,30.800581846681727
22,NA,Hope,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,30.39510780362409
23,NA,Grove City,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,30.234770951883792
24,NA,Salisbury,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,29.03827244786021
25,NA,Alma,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,29.02480452596923
26,NA,Berry,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,28.120651532666564
27,NA,Coe,ARC,5,16.583588910054566,0.9942428951043236,1,1,1,0,7.225310376237637e-4,0.021094569071995584,0.19002518778017174,1,0,1,0,0,0,28.01422438553763
28,NA,Central,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,26.9291814263719
29,NA,Springfield,NEWMAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,26.88468348383927
30,NA,Randolph-Macon,ODAC,3,-12.381913853751971,0.9545957611277831,0,0,1,0,0.00938793894897716,0.11582780518284419,0.48314620017135723,1,0,1,0,0,0,26.817504344779355
31,NA,Aurora,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,26.007979719115635
32,NA,Ithaca,LL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.19614941431313
33,NA,Washington U.,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.132483892713488
34,NA,Washington and Jefferson,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.122325508312482
35,NA,Trinity Texas,SAA,3,-0.9560654244661393,0.7968767339251672,0,1,1,0,0.06820159027564521,0.36863391688290204,0.7934277471383364,1,0,1,0,0,0,24.498500173059007
36,NA,Christopher Newport,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,24.44862132346431
37,NA,Endicott,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23.042916039642876
38,NA,Marietta,OAC,4,2.3586899144312885,0.5418962789111389,0,1,1,0,0.22242916553475567,0.6516693143249742,0.9386667423945386,1,0,1,0,0,0,22.37665938236259
39,NA,Westminster Pa.,PAC,2,-9.751096711048476,1,0,0,1,0,-0.8478987067565922,-0.44971424495194967,-0.10023221814414773,0,1,0,1,0,0,21.676287421703464
40,NA,Case Western Reserve,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21.64765969853256
41,NA,Brockport,E8,2,6.874056418257815,0.9856491836155914,0,1,1,0,0.00221108587698704,0.04527371111935652,0.29505696178960406,1,0,1,0,0,0,21.40097017791081
42,NA,Whitworth,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.79225186595831
43,NA,Centre,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.65497799990009
44,NA,Washington and Lee,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,19.473513004959226
45,NA,Baldwin Wallace,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,19.249206624191103
46,NA,Maryville Tenn.,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,18.999636815724834
47,NA,Muhlenberg,CC,2,-0.2759855559452369,0.8917038138956481,0,1,1,0,0.02908312541093605,0.22946900017217664,0.6602880651064719,1,0,1,0,0,0,18.880067278381105
48,NA,Hobart,LL,2,-20.791634429444905,1,0,0,1,0,-0.9526477553369255,-0.6975059886942412,-0.2621909924856821,0,1,0,1,0,0,18.05104190891253
49,NA,Wabash,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,17.928550103867956
50,NA,East Texas Baptist,ASC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,16.492153729424043
51,NA,RPI,LL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,16.443852440115304
52,NA,Concordia-Moorhead,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15.728965274380156
53,NA,Ohio Northern,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,15.380243723631615
54,NA,Franklin and Marshall,CC,2,-16.58543756676185,0.955827641955127,0,0,1,0,0.009063896310589126,0.11330235578599424,0.4779476687823413,1,0,1,0,0,0,14.995264490106099
55,NA,Denison,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,13.810298070907708
56,NA,Wittenberg,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,13.52669972252402
57,NA,Pomona-Pitzer,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,13.376625601263335
58,NA,Dubuque,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,13.14153333841165
59,NA,Chapman,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,13.109120995382709
60,NA,Rowan,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.93456006900449
61,NA,Monmouth,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.875996191324328
62,NA,Claremont-Mudd-Scripps,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.858867658897907
63,NA,Pacific Lutheran,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.173637318317411
64,NA,Albion,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.159924795486804
65,NA,Ursinus,CC,2,-18.468161591224515,0.9967587140141335,0,0,1,0,3.6095396397461954e-4,0.012964461300432828,0.1415394487408157,1,0,1,0,0,0,11.658583776991332
66,NA,McMurry,SCAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.541833765528565
67,NA,Illinois Wesleyan,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.376343834733344
68,NA,Lake Forest,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.276356221131262
69,NA,Heidelberg,OAC,4,-18.088761500374844,0.999838074031387,0,0,1,0,1.0488189571944417e-5,9.663297772595225e-4,0.025794720513888314,1,0,1,0,0,0,10.715855223220398
70,NA,UW-Eau Claire,WIAC,6,-0.3422126964797876,0.9239557201408097,0,1,1,0,0.01826421617018603,0.17434077015969063,0.5857775297246532,1,0,1,0,0,0,10.566941222371176
71,NA,Huntingdon,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10.400665593953649
72,NA,Texas Lutheran,SCAC,3,-15.629255920352058,1,0,0,1,0,-0.8136553953353242,-0.3965070087534778,-0.07835190289045546,0,1,0,1,0,0,10.361532082806036
73,NA,Western Connecticut,LAND,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10.228126543117416
74,NA,Bridgewater,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10.101503253868927
75,NA,St. Norbert,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.878982480265572
76,NA,Shenandoah,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.587074822775767
77,NA,Illinois College,MWC,5,-23.56853020915839,0.9968212746341338,0,0,1,0,3.5259326190262286e-4,0.012751127971539988,0.1401017299318077,1,0,1,0,0,0,9.443691605378019
78,NA,Hanover,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.234659232485827
79,NA,Trine,MIAA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.03647600143129
80,NA,Moravian,LAND,2,-23.43753022889107,1,0,0,1,0,-0.8272259926980089,-0.4166050445125816,-0.08621574681204591,0,1,0,1,0,0,8.851770537465828
81,NA,Hampden-Sydney,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8.598738967095114
82,NA,Delaware Valley,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8.542039323851455
83,NA,Carleton,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,7.760390222197502
84,NA,Alfred,E8,2,-5.076714184498535,0.7408419350059584,0,1,1,0,0.09598967848779782,0.440027366381632,0.8420566193739466,1,0,1,0,0,0,7.525963077827271
85,NA,Belhaven,USAC,3,-9.289256206198885,0.9881553695497572,0,0,1,0,0.0017449155137355676,0.03860671047890152,0.26985807963003294,1,0,1,0,0,0,7.4675723928898545
86,NA,Wilkes,LAND,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,7.224805589907032
87,NA,Union,LL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.8770133784778675
88,NA,Utica,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.761641096520066
89,NA,Mount St. Joseph,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.716445194659402
90,NA,Howard Payne,ASC,3,-15.270671462489634,0.9321123686417456,0,0,1,0,0.01575735001433154,0.15946325036361897,0.5624484377269424,1,0,1,0,0,0,6.245294939785291
91,NA,Augustana,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.02270726374547
92,NA,Carroll,CCIW,5,-34.750656284901,1,0,0,0,1,-0.9300485252917259,-0.6263896988045811,-0.20283438367548623,0,1,0,1,0,0,5.785543396931278
