Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
1,North Central Ill.,CCIW,5,60.029906540977976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2.8958336021301823
2,UW-Oshkosh,WIAC,6,37.6872911333959,24.99874643670608,0.30406654801104527,1,1,1,0,0.4451619812575415,0.845173845038066,0.9849889246583541,1,0,1,0,0,0,2.430920113033115
3,Mount Union,OAC,4,41.000720738475,15.607439564057724,0.3128966258857605,1,1,1,0,0.4352678527563377,0.8391250019180082,0.9840121492930882,1,0,1,0,0,0,2.389289740349259
4,Grove City,PAC,2,34.39155809532481,21.15379947676786,0.3950159470362228,1,1,1,0,0.3503538763251175,0.779196061735734,0.9727805057337294,1,0,1,0,0,0,2.1961909922417084
5,UW-Platteville,WIAC,6,44.45280495819513,38.036073775162684,0.5753435818141384,1,1,1,0,0.2002777024357456,0.6229418839176663,0.9288204851446675,1,0,1,0,0,0,2.0565372043375008
6,Johns Hopkins,CC,2,39.33032474983804,26.711301243806325,0.5329187357190415,1,1,1,0,0.23170501244770714,0.6629774300370861,0.9423081544436818,1,0,1,0,0,0,2.0147980037987057
7,UW-River Falls,WIAC,6,37.27867661714081,12.687443929734343,0.48242553115558684,1,1,1,0,0.27206897753225856,0.707906336850845,0.9555402205908974,1,0,1,0,0,0,2.003496765236358
8,UW-La Crosse,WIAC,6,41.01523370552211,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.9785686636476039
9,St. John's,MIAC,6,40.05817872080439,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.9324004760969558
10,Hardin-Simmons,ASC,3,38.77645313372398,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.8705702278482133
11,Bethel,MIAC,6,36.280205836917936,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.7501516362186713
12,Salisbury,NJAC,2,31.989644944012404,14.417062471455793,0.6634813508475789,1,1,1,0,0.1417213574433155,0.5323698953263565,0.8915986451867479,1,0,1,0,0,0,1.6043825926572588
13,Wartburg,ARC,5,33.056538428664076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5946424085549404
14,DePauw,NCAC,4,32.89110168494735,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5866617650875903
15,Marietta,OAC,4,22.49119491347247,2.2559582472721447,0.5445080342253504,0,1,1,0,0.22290110817148334,0.6522544357550446,0.9388583444670495,1,0,1,0,0,0,1.4706035272249127
16,Utica,E8,2,16.241634216770635,11.076441621927366,0.6714128571336022,1,1,1,0,0.13687833020014484,0.5236807990811688,0.8874809654807576,1,0,1,0,0,0,1.4033843212859396
17,Berry,SAA,3,28.360186587101488,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.3680911068143773
18,Washington U.,CCIW,5,25.309265805216096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.220915150250293
19,UW-Whitewater,WIAC,6,40.53100542369834,11.285526205642519,0.8968398121329701,1,1,1,0,0.027785632911377922,0.2234669462083253,0.652954563689566,1,0,1,0,0,0,1.1973342793569905
20,Wabash,NCAC,4,24.15504407166008,15.170656039196814,0.8862857049694233,1,1,1,0,0.03160981596902679,0.2407794387201727,0.6736623127926187,1,0,1,0,0,0,1.0735102857697862
21,Hope,MIAA,4,35.00713560996163,29.306437777599008,0.98194742111597,1,1,1,0,0.003012886529194736,0.055632894396286714,0.33044551195516403,1,0,1,0,0,0,1.0592449694356774
22,Case Western Reserve,PAC,2,21.686103030551163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.0461343266003382
23,Central,ARC,5,25.978554571306663,-2.444536798738863,0.7684110820943016,0,1,1,0,0.08313964276455166,0.40888564501064184,0.8221093835759133,1,0,1,0,0,0,1.033465638423261
24,Western New England,CNE,1,5.99750886166165,-5.277989282738226,0.6563181193670194,0,1,1,0,0.14615453403836387,0.5401360574738931,0.8951921114761356,1,0,1,0,0,0,1.0314727041687746
