Home,H Score,H Win%,Away,A Score,A Win%,Spread,Total,Game Score,H Conf,A Conf,Conf_H,W_H,L_H,DIII W_H,DIII L_H,ConfW_H,ConfL_H,NPI_H,Rank_H,SOS_H,QWB_H,Pool A_H,Pool C_H,Playoff_H,Top 8%_H,Change_H,Bowl_H,R40W%_H,R32W%_H,R16W%_H,R8W%_H,R4W%_H,R2W%_H,Wk5_Lev_H,Wk6_Lev_H,Wk7_Lev_H,Wk8_Lev_H,Wk9_Lev_H,Wk10_Lev_H,Wk11_Lev_H,Conf_A,W_A,L_A,DIII W_A,DIII L_A,ConfW_A,ConfL_A,NPI_A,Rank_A,SOS_A,QWB_A,Pool A_A,Pool C_A,Playoff_A,Top 8%_A,Change_A,Bowl_A,R40W%_A,R32W%_A,R16W%_A,R8W%_A,R4W%_A,R2W%_A,Wk5_Lev_A,Wk6_Lev_A,Wk7_Lev_A,Wk8_Lev_A,Wk9_Lev_A,Wk10_Lev_A,Wk11_Lev_A
UW-Whitewater,25.0705240743423,0.6314613896621872,UW-La Crosse,19.761441845342308,0.36853861033781277,5.309082228999991,44.831965919684606,38.248222030922,WIAC,WIAC,WIAC,8.2029,1.7971,7.2029,1.7971,5.2029,1.7971,70.02651008,18.6979,62.35448103,1.351939342,0.2944,0.514,0.8084,0.3469,-0.0209,0.0894,0.8014,0.6633,0.4641,0.288,0.1534,0.0725,0.317578462,0.33559959,0.414637075,0.295003691,0.260358184,0.443725885,0.292328856,WIAC,6.6396,2.3604,5.6396,2.3604,4.6396,2.3604,66.98464774,28.2011,62.6199516,1.182221469,0.1518,0.4789,0.6307,0.218,-0.0232,0.1916,0.6214,0.4996,0.3207,0.1847,0.0919,0.0403,0.365602056,0.386733035,0.387459089,0.454425956,0.464312021,0.392899413,0.372904279
UW-Oshkosh,30.912354239874986,0.4096401117287391,UW-River Falls,34.5268284416551,0.5903598882712608,-3.614474201780112,65.43918268153008,36.08934122456783,WIAC,WIAC,WIAC,5.7907,4.2093,4.7907,4.2093,3.7907,3.2093,60.43040034,54.9581,63.81888445,0.736285647,0.0677,0.2183,0.286,0.0381,-0.0146,0.3269,0.2831,0.1946,0.117,0.0535,0.0255,0.0096,0.378958178,0.317212718,0.269198057,0.400889794,0.417809682,0.277995036,0.422754664,WIAC,7.8702,2.1298,7.8702,2.1298,4.8702,2.1298,68.97790731,20.8427,61.91006343,1.258270007,0.2437,0.5551,0.7988,0.2844,-0.0132,0.0573,0.7888,0.617,0.4085,0.2321,0.1153,0.0516,0.29440853,0.296672755,0.334159379,0.39240518,0.288187164,0.299792793,0.304872765
Bethel,30.17718630902572,0.40253300813237575,St. John's,33.94517489984445,0.5974669918676244,-3.7679885908187316,64.12236120887017,34.3394935811846,MIAC,MIAC,MIAC,9.2363,0.7637,9.2363,0.7637,8.2363,0.7637,69.67165986,16.2412,56.08389452,0.529691395,0.4047,0.4905,0.8952,0.3423,-1e-4,0,0.8914,0.5818,0.2792,0.1093,0.0399,0.014,0.161751349,0.796793587,0.663521818,0.645458183,0.576948642,0.638955647,0.490519663,MIAC,9.4707,0.5293,9.4707,0.5293,8.4707,0.5293,71.58882079,12.1877,56.35072612,0.722187629,0.5823,0.3623,0.9446,0.5193,0.0218,0,0.9431,0.7365,0.4389,0.2227,0.0985,0.0356,0.122050695,0.944788958,0.467223607,0.542645721,0.506165271,0.645245245,0.589493343
North Central Ill.,44.607859206469094,0.9310105430607946,Wheaton Ill.,21.2992037010737,0.0689894569392055,23.308655505395393,65.9070629075428,26.811444289849113,CCIW,CCIW,CCIW,9.9169,0.0831,9.9169,0.0831,8.9169,0.0831,75.94864813,5.0029,58.67849075,1.304414531,0.9248,0.0748,0.9996,0.9144,0.0017,3e-4,0.9996,0.9666,0.8918,0.7715,0.6043,0.4603,0.005174644,0.9996,-4.0004e-4,-4.0004e-4,-4.00882e-4,-4.0004e-4,0.121212121,CCIW,7.8063,2.1937,7.8063,2.1937,7.8063,1.1937,64.82007259,29.1689,57.21031902,0.323496647,0.0716,0.6831,0.7547,0.0325,0.0589,0.1863,0.7398,0.4521,0.2683,0.1259,0.0542,0.0224,0.246221681,0.768246044,0.756288205,0.865550653,0.755304243,0.755002001,0.725541534
John Carroll,31.086677540001638,0.736266339353373,Wabash,21.38645067889935,0.263733660646627,9.700226861102287,52.47312821890099,18.263800982241907,NCAC,NCAC,NCAC,7.8537,2.1463,7.8537,2.1463,6.8537,1.1463,64.21165021,34.4121,56.73423619,0.485657279,0.3688,0.2414,0.6102,0.0599,0.0519,0.2394,0.5635,0.2932,0.1344,0.0466,0.017,0.0057,0.556194108,0.488971254,0.47163827,0.486367281,0,0.487447156,0.457280343,NCAC,8.4001,1.5999,8.4001,1.5999,6.4001,1.5999,64.98449048,32.2205,54.81605245,0.384442387,0.187,0.2772,0.4642,0.0998,0.0882,0.301,0.4552,0.2309,0.0699,0.0198,0.0048,4e-4,0.588542472,0.420064106,0.384579068,0,0.46333792,0.4642,0.655473412
Rowan,26.667293929183153,0.31478068710180473,Christopher Newport,34.07845119212505,0.6852193128981952,-7.411157262941899,60.745745121308204,17.405697956244374,NJAC,NJAC,NJAC,7.0858,1.9142,7.0858,1.9142,5.0858,1.9142,60.52864688,52.5528,52.46277335,0.33234791,0.124,0.1514,0.2754,0.021,-0.076,0,0.2154,0.0586,0.0177,0.0025,4e-4,1e-4,0.517086576,0.257850708,0.256068899,0.557395908,0.293248139,0.275868977,0.26629551,NJAC,8.9202,1.0798,8.9202,1.0798,5.9202,1.0798,69.76256827,16.6847,58.04439529,0.885832612,0.3539,0.4923,0.8462,0.3036,0.2618,0,0.8117,0.4621,0.1822,0.0606,0.0171,0.0036,0.337660354,0.446423212,0.482234981,0.437171677,0.524530948,0.242148524,0.397211084
Cortland,36.033065327889915,0.7680478252717127,Utica,24.638032667911546,0.23195217472828727,11.39503265997837,60.67109799580146,13.68781449116329,E8,E8,E8,8.0538,1.9462,8.0538,1.9462,6.4662,0.5338,63.87639579,34.7497,54.44268659,0.455465683,0.6715,0.0236,0.6951,0.0014,0.002,0,0.5861,0.2782,0.0988,0.0357,0.0087,0.0025,0.608384179,0,0.238604343,0.316180935,0.288734632,0.706101656,0.147153853,E8,7.1832,2.8168,7.1832,2.8168,5.1832,1.8168,60.9150231,49.7028,53.34545011,0.355919736,0.1186,0.1533,0.2719,0.0031,0.0117,0,0.2116,0.051,0.0126,0.0019,6e-4,1e-4,0.591464215,0.257897668,0,0.294142759,0.26596549,0.243315508,0.486203317
Muhlenberg,31.698501064220665,0.6413171673395708,Ursinus,26.174358541032753,0.3586828326604292,5.524142523187912,57.87285960525342,12.709958150079416,CC,CC,CC,7.3283,2.6717,7.3283,2.6717,4.3283,2.6717,62.89458377,42.5735,58.08726683,0.654885439,0.0586,0.3828,0.4414,0.067,-0.0036,0.4203,0.4059,0.1428,0.0375,0.0076,0.0015,1e-4,0.448611712,0.46826874,0.379830288,0.513377856,0.443484848,0.383590967,0.413458245,CC,6.831,3.169,6.831,3.169,3.831,3.169,58.11391567,68.062,52.65721447,0.290528253,0.0185,0.102,0.1205,0.0081,-0.0704,0.7098,0.1027,0.0382,0.0075,0.0017,5e-4,1e-4,0.214140364,0.116429072,0.403645877,0.178115828,0.127203631,0.148841248,0.331331134
Hobart,19.747189815076702,0.6172010558925832,RPI,15.045639092016842,0.3827989441074167,4.70155072305986,34.79282890709354,12.602707523185533,LL,LL,LL,6.0871,3.9129,6.0871,3.9129,5.0871,1.9129,54.75250873,88.055,51.14652961,0.243765716,0.0531,0,0.0531,0,-0.1736,0,0.0215,0.0022,6e-4,1e-4,1e-4,1e-4,0.08237881,0.081645995,0,0.051355749,0.060852354,0.053222412,0.043428936,LL,7.109,2.891,7.109,2.891,5.109,1.891,58.50665304,64.522,51.45056579,0.25943767,0.1617,0.0065,0.1682,1e-4,0.0252,0,0.1145,0.0313,0.0057,0.0013,0,0,0.224938121,0.144711989,0,0.096907099,0.137110667,0.531303597,0.202278422
Ohio Northern,22.083217019095482,0.41671867151697317,Marietta,25.258107761799483,0.5832813284830269,-3.174890742704001,47.341324780894965,9.644054748989703,OAC,OAC,OAC,5.7165,4.2835,5.7165,4.2835,5.1519,2.8481,54.56359783,89.7436,52.97362746,0.182208031,0.007,0.0393,0.0463,2e-4,-0.0303,0.4309,0.0293,0.0042,9e-4,1e-4,0,0,0.100450432,0.071393493,0.051699971,0.483893832,0.075496313,0.147906344,0.048283641,OAC,7.2373,2.7627,7.2373,2.7627,5.2841,2.7159,61.28776068,49.154,55.00171855,0.342631753,0.0251,0.2965,0.3216,0.0172,-0.1261,0.159,0.2511,0.0712,0.0173,0.0028,6e-4,1e-4,0.3828198,0.357027121,0.338961817,0.487165262,0.308821843,0.508850353,0.310489902
